"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_1400100",335,358,2203,561,790,482,259,645,254,66,268,1285,18,353,42,1927,324,475,672,464,660,147,412,45,58,119,75,722,485,228,712,6349
"PF3D7_1400200",7,4,4,202,130,29,20,7,33,6,21,29,7,16,0,8,17,10,15,11,157,13,41,1,2,0,10,0,8,30,2,5
"PF3D7_1400300",0,0,1,3,0,1,2,0,1,0,4,0,0,1,0,0,8,84,3,1,2,2,1,0,2,0,0,0,0,0,0,0
"PF3D7_1400400",0,0,0,29,16,11,0,0,34,0,7,24,3,8,1,10,2,28,9,2,3,6,0,0,2,0,1,0,2,1,0,1
"PF3D7_1400500",0,0,1,1,2,0,2,0,0,0,1,8,0,0,0,0,1,5,0,2,2,0,0,0,0,0,0,0,0,2,0,0
"PF3D7_1400600",0,0,0,27,33,8,4,3,1,0,11,9,1,1,0,2,1,8,5,6,60,4,1,0,5,0,0,0,0,1,0,0
"PF3D7_1400700",3,4,3,6,2,13,1,1,0,0,1,3,0,9,0,2,0,0,3,0,2,0,0,0,2,0,1,1,0,3,0,0
"PF3D7_1400800",0,1,2,1,15,0,0,2,3,2,7,1,0,5,0,0,6,22,0,3,1,1,1,0,0,0,6,0,0,19,0,1
"PF3D7_1400900",16,8,0,0,58,0,1,0,0,0,22,0,4,12,0,2,15,2,0,17,44,2,5,0,0,0,28,0,3,8,0,0
"PF3D7_1401000",232,447,24,63,178,47,85,18,104,80,82,46,16,84,1,150,62,2,26,50,58,6,13,0,0,27,4,5,88,123,175,371
"PF3D7_1401050",226,258,5,48,1502,213,315,109,929,38,512,90,68,470,2,15,771,591,166,1047,1986,8,241,0,45,2,118,4,16,1423,2,16
"PF3D7_1401100",17553,34540,2236,18258,117368,38670,21115,18083,43696,8801,31710,23336,12045,65472,559,7584,68024,121409,20091,79538,166769,241,21820,177,6298,680,14881,5099,3961,59387,843,522
"PF3D7_1401200",149,15,54,172,1112,214,46,71,113,10,341,15,36,315,7,286,149,226,52,205,225,43,102,6,13,0,31,4,21,412,1,3
"PF3D7_1401300",46,21,1275,591,281,250,67,813,54,14,82,12,20,109,43,2136,113,34,49,152,146,307,102,284,7,28,20,62,212,134,29,30
"PF3D7_1401400",14401,33216,33816,52649,116068,40496,32009,35879,51330,21734,24377,62170,20311,55590,2541,55765,172938,94637,69148,35246,90848,4410,30718,3485,18162,8706,25163,20769,37698,54116,14509,33809
"PF3D7_1401500",128,20,2326,1066,444,327,108,685,100,9,98,24,18,129,82,2073,66,90,97,246,313,463,80,274,23,80,32,156,266,235,82,43
"PF3D7_1401600",284,1634,8226,2380,3190,1501,885,1929,2337,489,819,1691,124,1108,251,16554,1319,1805,2055,4094,4947,805,1284,440,187,2490,605,3437,2098,831,3047,5792
"PF3D7_1401700",3,10,116,40,48,9,20,14,63,5,14,106,0,5,4,371,9,72,4,60,60,42,13,7,1,11,3,24,15,17,18,22
"PF3D7_1401800",28,12,1551,524,32,88,25,219,14,1,14,49,0,19,32,3556,4,44,35,59,14,181,31,80,4,80,1,111,209,24,191,280
"PF3D7_1401900",0,1,6,0,5,3,2,0,4,0,1,1,0,3,0,6,5,1,4,15,1,0,0,0,0,0,0,0,1,0,0,0
"PF3D7_1402000",14,39,446,150,68,42,20,87,36,3,7,84,0,10,13,563,2,43,47,107,98,40,19,21,4,25,4,42,71,4,46,137
"PF3D7_1402100",37,74,1781,193,243,163,92,64,149,19,63,231,3,52,53,2516,33,96,71,515,307,113,114,24,12,139,30,183,129,43,127,206
"PF3D7_1402200",18,23,332,106,165,36,15,24,61,14,50,21,11,38,5,464,38,126,19,117,114,21,33,8,17,21,11,44,25,79,28,28
"PF3D7_1402300",489,999,4134,1698,1219,1039,701,694,819,243,342,992,75,638,173,9133,332,1035,466,1577,1674,499,604,168,346,670,240,748,959,673,725,1065
"PF3D7_1402400",129,128,1567,268,425,189,101,182,187,45,161,275,13,196,50,1442,195,327,115,528,347,86,108,34,23,86,51,149,282,253,87,149
"PF3D7_1402500",269,932,12441,3202,1190,1487,600,1705,769,331,301,1021,154,875,156,15612,1040,1973,929,1875,5219,489,479,313,233,587,319,1300,2305,504,920,1748
"PF3D7_1402600",0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"PF3D7_1402700",207,621,6667,2523,929,757,502,1123,577,151,265,1178,43,479,165,7725,352,615,453,829,1060,490,322,389,94,617,159,1261,805,287,917,2266
"PF3D7_1402800",259,67,8359,4044,363,1031,302,529,151,52,133,328,11,219,290,14451,228,142,261,783,100,1033,241,195,55,767,35,405,758,407,616,1154
"PF3D7_1402900",3,3,73,23,2,7,6,0,9,4,9,11,0,6,0,86,7,2,5,20,1,8,6,0,0,6,0,6,2,6,4,0
"PF3D7_1403000",0,0,17,6,2,0,1,2,2,0,0,1,0,0,0,4,0,0,2,1,2,0,0,0,1,0,0,0,0,2,0,2
"PF3D7_1403100",6,3,36,122,43,54,13,19,29,5,16,188,0,9,1,361,2,17,11,78,14,17,19,3,1,6,9,14,6,0,17,52
"PF3D7_1403200",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1403300",0,0,0,1,2,1,1,0,0,0,0,2,0,0,0,2,0,0,0,1,1,3,1,0,0,0,0,2,0,0,0,0
"PF3D7_1403400",0,0,3,3,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,2,0,0,2,0,4,3,0,7,0
"PF3D7_1403500",0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1403600",0,0,4,1,0,0,1,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"PF3D7_1403700",0,0,73,4,3,1,0,0,0,0,0,0,0,0,2,51,0,0,1,0,0,4,0,0,0,0,0,3,4,2,0,0
"PF3D7_1403800",13,0,1957,107,44,32,3,55,0,1,8,0,0,17,95,2990,1,3,15,14,2,175,1,59,1,19,1,80,183,58,20,15
"PF3D7_1403900",48,0,7139,3424,37,395,76,1871,1,6,10,51,2,23,159,5331,5,4,102,12,12,708,23,593,8,94,0,129,1055,78,123,486
"PF3D7_1404000",2,1,325,140,0,7,3,44,0,0,0,0,0,2,11,175,0,2,4,0,0,37,0,15,0,16,0,17,53,3,8,25
"PF3D7_1404100",64,93,1319,1010,97,130,107,338,82,15,28,165,8,26,47,1562,26,87,121,70,100,142,53,115,11,78,7,141,319,30,143,569
"PF3D7_1404200",0,0,19,4,0,0,0,2,0,0,0,0,0,0,0,28,0,0,2,1,1,3,0,0,0,2,0,2,0,0,1,1
"PF3D7_1404300",1,3,3,1,6,3,3,2,3,0,1,4,1,9,0,7,34,13,2,3,4,0,6,0,1,0,0,3,0,15,0,0
"PF3D7_1404400",0,1,11,26,9,11,8,2,1,0,5,2,0,10,1,12,5,5,2,2,16,0,1,0,5,0,3,1,0,7,0,0
"PF3D7_1404500",402,350,1734,624,668,1072,531,105,387,231,376,484,109,576,42,2402,821,292,306,1161,2193,101,506,22,221,114,121,84,126,453,132,221
"PF3D7_1404600.1",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404600.3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"PF3D7_1404600.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404700",7,25,62,25,146,19,9,11,28,9,18,15,5,36,2,94,50,65,28,102,171,1,13,2,4,11,39,18,23,116,6,4
"PF3D7_1404800",7261,21936,25718,19554,21728,19983,13079,10974,10416,7491,7600,16782,4036,11298,975,31271,43164,10988,14697,27193,62871,2836,11652,1885,4533,3054,3569,6753,12575,13900,4047,9296
"PF3D7_1404900",931,2168,8195,3111,3072,3080,1665,1469,1408,579,1122,1801,457,1857,196,10854,3541,1453,1357,3106,8503,531,1029,360,625,674,784,1081,1730,2039,1003,1797
"PF3D7_1405000",160,435,667,205,624,238,292,124,193,123,297,203,33,207,18,993,457,304,242,861,1160,133,193,10,71,69,91,136,258,737,61,51
"PF3D7_1405100",191,349,3207,1145,394,1112,256,328,495,111,127,501,14,136,69,3950,175,162,451,1128,1593,238,508,94,83,182,80,150,431,133,245,740
"PF3D7_1405200",19,41,74,32,22,21,18,21,37,3,10,29,1,13,1,107,20,75,13,42,55,6,27,3,8,10,9,21,23,7,16,34
"PF3D7_1405300",81,92,265,105,77,120,36,20,111,31,63,62,5,27,10,429,50,157,35,172,246,26,44,17,17,58,19,37,78,24,63,92
"PF3D7_1405400",16,22,405,113,25,54,29,11,32,4,11,63,0,5,8,411,8,18,15,91,61,17,27,4,4,26,0,13,18,13,25,74
"PF3D7_1405500",217,297,683,395,277,398,345,57,192,72,98,437,13,110,20,1196,124,149,173,570,1103,51,229,16,67,58,68,60,59,82,70,171
"PF3D7_1405600",8,2,641,139,30,16,7,68,14,2,9,6,0,19,10,532,6,16,21,63,42,14,11,29,0,18,0,53,35,10,27,130
"PF3D7_1405700",126,467,2127,712,448,515,327,348,350,116,129,591,69,226,65,2821,99,286,319,595,1431,200,328,81,91,160,88,287,340,110,256,427
"PF3D7_1405800",3436,2621,18219,4443,6003,8145,4076,1221,3046,1995,3300,2963,840,5171,515,27386,10128,2013,2856,13062,22297,1575,4626,328,1595,1302,1172,993,1835,5125,1117,1768
"PF3D7_1405900",1829,556,4084,1957,2226,2563,2267,263,955,646,1658,729,139,1872,187,5671,3607,479,1122,2929,7762,340,1233,63,731,441,243,147,259,2158,159,270
"PF3D7_1406000",32,122,251,220,72,204,117,68,24,18,24,122,2,32,8,169,26,53,137,82,244,12,44,29,16,13,12,26,19,35,15,113
"PF3D7_1406100",156,158,1345,393,174,340,199,58,148,76,112,249,30,85,51,1362,206,71,141,405,680,129,171,24,97,109,58,81,114,196,106,164
"PF3D7_1406200",4863,1585,14979,6392,9665,9841,5408,762,3182,2026,5739,2939,549,7738,534,25284,14161,1798,3808,15399,32377,1314,5530,174,2411,1313,930,372,622,7526,776,1291
"PF3D7_1406300",380,947,335,492,1107,745,488,177,850,183,248,562,112,357,24,572,232,1118,543,689,1034,44,208,35,137,193,116,588,87,387,593,84
"PF3D7_1406400",4,0,4,7,25,1,0,1,2,1,7,0,2,9,0,12,2,9,0,15,8,1,0,0,0,0,1,3,0,3,1,0
"PF3D7_1406500",0,0,76,0,3,1,1,0,0,1,1,0,0,3,2,65,0,2,0,2,2,7,0,0,0,0,0,2,1,1,1,0
"PF3D7_1406600",3,1,633,296,3,39,13,18,0,1,4,2,0,8,18,744,1,1,4,0,0,56,3,17,2,3,0,6,13,11,11,8
"PF3D7_1406700",4,2,306,118,0,17,1,76,0,0,0,4,0,2,2,129,0,0,4,0,0,12,0,19,1,0,0,1,6,1,1,6
"PF3D7_1406800",0,0,26,5,1,0,0,1,0,0,2,0,0,15,0,18,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,3
"PF3D7_1406900",0,0,22,17,2,2,2,11,0,0,0,0,0,0,1,14,0,0,0,0,1,1,0,3,0,0,1,0,5,1,0,1
"PF3D7_1407000",3,7,19,20,17,11,3,13,3,0,6,19,1,15,2,40,19,20,22,3,26,7,3,3,7,1,9,5,2,17,0,6
"PF3D7_1407100",3320,9290,21613,22556,16390,13081,8937,13281,9147,4535,5326,12218,3006,9456,829,21452,24850,10450,15930,6978,27322,1739,5427,1723,3903,1840,4056,3064,5762,8653,3023,8263
"PF3D7_1407200",65,60,1518,256,80,471,129,154,92,32,48,153,31,100,60,1319,130,39,95,138,466,102,53,38,52,28,31,38,133,99,52,70
"PF3D7_1407300",2101,1720,14010,5235,5206,4353,2836,1758,2129,1030,2119,2692,597,2646,583,16569,5615,1503,1989,2807,7839,1577,1665,539,1011,975,817,1661,2091,3795,940,1810
"PF3D7_1407400",92,106,775,191,200,243,110,122,107,54,83,147,33,172,21,580,324,140,113,303,591,34,61,17,67,21,51,49,128,152,46,90
"PF3D7_1407500",42,70,513,152,70,334,66,46,46,18,53,85,24,79,12,395,138,32,106,108,619,17,46,12,39,4,19,14,30,61,29,54
"PF3D7_1407600",140,65,65,122,800,98,106,51,117,32,246,56,20,230,7,123,215,82,92,189,393,23,114,11,45,8,42,19,45,267,11,29
"PF3D7_1407700",44,70,114,40,798,66,48,39,99,29,197,7,51,238,4,213,182,126,51,76,385,10,33,6,34,12,69,41,50,246,29,6
"PF3D7_1407800",2850,8674,32930,13350,15755,20967,7204,10304,6932,3635,6382,7767,3120,12010,706,49446,20267,5564,9269,9971,55690,2072,4545,1962,2803,2257,3861,3281,7091,7849,4862,7167
"PF3D7_1407900",5208,9175,12146,13491,29675,20011,11585,9567,7555,6042,9010,11054,6390,24612,559,11428,48031,14208,11018,17314,69764,525,6025,573,5495,805,5841,1896,6257,19923,1973,4467
"PF3D7_1408000",307,861,10761,3979,1664,2444,743,3982,1234,317,613,1076,223,1202,172,9500,1386,1123,725,992,3216,721,337,823,230,437,340,940,1995,739,1418,1109
"PF3D7_1408100",1495,2724,53891,10751,6363,7284,2109,6870,3436,786,2062,3852,714,3988,758,50230,3826,3042,3047,5648,13386,2164,1565,1845,823,2419,1141,4265,6882,2522,4783,8974
"PF3D7_1408200",2906,2635,7298,6236,16129,7892,4242,981,5564,1960,5328,4233,764,7779,373,22451,7517,3225,3280,10776,22915,869,4226,121,1654,1796,1729,1052,1272,6694,1371,1783
"PF3D7_1408300",3,4,5,4,15,0,0,0,3,0,1,0,0,2,1,20,1,5,1,3,0,2,0,0,1,2,2,0,2,5,5,0
"PF3D7_1408400",114,162,2180,898,654,308,131,203,265,60,169,223,36,202,64,4249,262,315,144,405,730,174,247,69,74,203,70,229,401,215,283,490
"PF3D7_1408500",244,393,763,392,528,449,304,156,257,208,182,263,68,249,26,874,535,219,163,1345,1920,64,340,24,128,59,80,48,144,290,49,86
"PF3D7_1408600",4399,12509,48866,38432,22457,14953,9460,24816,10475,5983,6388,16635,3800,10994,1807,49857,25861,21245,17875,8336,23200,4235,7597,4319,4074,6528,5159,16614,25392,9421,9285,20930
"PF3D7_1408700",3339,2847,6313,6266,12361,6825,4835,929,4756,1869,2921,5520,727,5697,228,10489,3712,3463,3138,11351,28446,203,3061,129,2532,841,1847,1118,881,4377,1407,3591
"PF3D7_1408800",1,0,2,0,6,0,0,0,1,0,1,1,0,3,0,3,0,2,1,5,4,0,1,0,3,0,2,0,0,1,0,0
"PF3D7_1408900",273,322,1932,563,356,757,299,533,170,158,145,436,78,350,47,1827,492,450,289,677,1274,113,279,84,193,54,89,153,347,238,177,181
"PF3D7_1409000",85,185,924,268,170,328,245,102,84,94,54,261,8,109,15,1052,138,144,161,458,1281,60,111,16,41,68,33,77,98,71,82,199
"PF3D7_1409100",27,22,585,130,200,178,56,25,57,21,65,43,2,104,23,391,226,14,87,80,447,10,74,5,13,9,6,27,41,46,16,31
"PF3D7_1409200.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1409200.1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1409300",0,0,12,5,0,7,5,9,2,0,0,2,0,3,0,38,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
"PF3D7_1409400",0,0,16,114,2,1,0,7,0,0,0,1,0,10,0,26,2,2,1,1,2,2,1,2,2,2,0,4,0,3,0,2
"PF3D7_1409500",7,1,6,2,8,3,2,6,0,1,2,2,0,1,2,22,8,0,1,7,8,0,0,0,1,0,2,0,0,1,0,2
"PF3D7_1409600",399,657,1151,848,1295,1467,590,206,527,472,508,494,235,1184,59,1586,1911,634,383,1537,3242,78,487,40,414,115,252,113,327,621,225,259
"PF3D7_1409700",5,1,647,179,7,6,2,63,3,3,0,5,3,13,15,587,7,1,5,0,1,51,2,29,2,30,3,52,98,14,11,53
"PF3D7_1409800",27,0,2256,785,12,184,38,342,0,0,4,11,2,8,79,2255,0,1,14,1,0,198,4,130,7,58,0,56,310,20,90,274
"PF3D7_1409900",176,452,7880,3154,578,941,343,1797,487,82,281,716,48,266,202,10622,217,744,390,590,633,882,304,497,82,725,170,1253,1969,215,1076,1957
"PF3D7_1410000",276,569,1346,998,649,551,499,424,425,148,218,634,140,490,54,1785,430,532,370,954,981,206,295,67,216,260,164,479,769,320,254,595
"PF3D7_1410100",61,11,47,16,132,42,23,13,42,12,45,9,16,50,2,93,41,52,27,57,61,6,16,1,7,15,25,9,22,40,8,7
"PF3D7_1410200",2869,3411,17317,6781,8516,5722,3734,2533,3498,1400,3627,4219,917,4423,508,28562,5562,3332,2579,7336,16441,1445,3064,600,1040,1633,1568,1873,2574,4484,2089,4322
"PF3D7_1410300",1357,737,1962,1021,2825,2752,1622,281,1289,649,683,1881,83,1340,95,8497,2034,609,961,4278,8365,140,1654,19,661,388,380,298,94,759,486,601
"PF3D7_1410400",0,1,12,0,65,8,9,9,6,1,14,4,1,7,0,62,12,4,4,5,26,0,2,0,0,0,7,9,1,22,2,1
"PF3D7_1410500",55,29,61,57,215,28,16,31,66,23,66,23,39,91,4,88,43,90,27,22,94,5,13,1,21,11,36,32,62,100,18,15
"PF3D7_1410600",6280,14633,25476,24016,34453,19484,13331,14433,16007,6958,9664,17786,5339,20519,1040,36588,32532,22286,19451,17236,39542,2529,12671,1682,5175,3597,6383,6571,8359,12504,6105,12735
"PF3D7_1410700",3,0,3,1,20,2,3,1,5,0,2,0,3,7,0,4,12,6,0,21,2,0,1,0,0,0,2,0,0,12,0,1
"PF3D7_1410800",18,40,0,18,97,53,20,4,16,5,16,13,4,21,0,1,26,12,32,37,137,0,11,0,10,0,16,3,0,33,0,2
"PF3D7_1410900",713,623,1584,754,1384,1916,581,179,559,345,381,511,89,706,47,2163,794,408,483,2886,5372,78,739,29,320,68,279,30,87,583,87,183
"PF3D7_1411000.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1411000.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PF3D7_1411100.1",44,27,27,22,43,22,50,17,19,5,22,58,6,8,1,30,38,19,34,44,64,4,24,0,18,5,9,4,14,40,14,8
"PF3D7_1411100.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1411200",1928,2103,9285,4751,4848,4882,2722,1166,2934,1438,1998,2499,517,2767,252,15530,4956,1498,2309,4705,14191,914,2473,255,1179,913,1023,653,1044,2784,981,1988
"PF3D7_1411300",107,177,2069,461,332,203,114,221,125,43,119,222,33,122,42,1813,198,192,136,278,609,133,107,58,44,145,73,182,285,221,197,279
"PF3D7_1411400",13,22,129,47,69,75,20,13,42,25,21,32,6,49,5,286,89,11,24,121,150,17,29,0,23,3,6,6,13,63,9,10
"PF3D7_1411500",708,957,1520,979,2219,1319,749,193,994,537,623,709,164,985,58,2554,1505,703,697,2985,4858,107,918,31,509,253,393,99,289,1141,209,243
"PF3D7_1411600",40,32,195,320,1267,123,65,213,177,31,210,18,11,315,5,560,281,229,65,448,400,78,156,25,20,14,44,15,32,262,9,20
"PF3D7_1411700",136,290,708,324,962,441,315,115,227,105,209,347,30,339,27,1285,266,331,240,419,1026,65,189,27,91,123,119,106,98,175,191,371
"PF3D7_1411800",180,127,558,260,184,310,140,62,131,77,105,103,21,138,27,1230,267,39,123,269,848,59,148,11,127,88,40,30,82,169,67,218
"PF3D7_1411900",1327,3289,2528,5155,6010,3176,2909,1590,2006,1288,1481,4709,649,3034,103,5394,5859,4312,3010,3185,8330,395,2009,113,1297,382,868,369,837,2602,477,1571
"PF3D7_1412000",21,20,26,14,68,23,32,10,29,10,19,5,13,45,1,50,36,12,23,61,224,2,18,0,11,3,24,0,3,49,1,4
"PF3D7_1412100",91,23,1323,424,227,58,95,113,104,35,73,32,36,123,27,1326,111,63,65,157,470,102,70,5,29,62,76,28,165,166,88,221
"PF3D7_1412200",999,304,412,295,1437,1278,391,188,825,181,851,239,208,763,37,688,994,584,392,2221,4118,39,760,5,254,32,317,38,96,1193,49,31
"PF3D7_1412300",166,328,2199,398,667,1989,262,211,253,124,333,209,140,1207,32,2488,587,352,334,1369,7083,51,230,11,128,39,131,58,181,395,145,106
"PF3D7_1412400",324,171,2527,1038,1390,998,421,121,878,193,301,814,33,434,91,5071,458,336,456,1030,1902,172,472,34,183,332,144,201,219,295,361,699
"PF3D7_1412500",330,476,8857,4903,595,1543,657,2985,288,269,152,1463,27,194,393,10258,843,280,973,336,463,1461,304,866,140,741,103,882,1604,444,1083,3355
"PF3D7_1412600",352,717,2818,1190,443,1522,768,854,329,253,122,787,61,340,66,2016,709,404,674,525,1739,228,424,260,237,258,230,362,268,266,311,981
"PF3D7_1412700",84,66,5607,800,364,288,135,174,73,45,99,196,22,127,141,3692,120,175,119,401,381,296,198,104,44,291,46,206,231,214,239,316
"PF3D7_1412800",1886,2661,2370,2741,4760,4425,3013,1118,1666,1052,1780,3417,698,2665,103,5353,2450,1918,2968,3086,10180,141,2025,122,919,510,960,741,451,2886,826,1540
"PF3D7_1412900.1",757,1437,1629,1263,4049,2233,1265,611,1366,716,1534,1496,424,2099,82,4253,2203,2544,1411,2336,4721,80,1442,55,387,449,650,607,171,1549,788,1105
"PF3D7_1412900.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1413000",4,1,4,1,38,2,1,1,1,2,4,2,3,8,0,4,10,39,2,12,3,0,13,0,1,0,5,0,0,16,0,0
"PF3D7_1413100",0,0,3,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"PF3D7_1413200",8,4,2,4,33,7,3,1,14,4,5,3,0,2,0,9,0,0,2,15,15,0,4,0,0,0,2,0,0,1,0,0
"PF3D7_1413300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1413400",2,0,75,20,14,3,0,9,0,0,1,1,0,2,1,180,1,3,0,12,0,7,1,4,0,0,0,1,7,1,0,7
"PF3D7_1413500",4,2,884,22,32,8,0,44,1,0,8,5,1,22,16,679,3,11,0,29,3,26,0,38,2,4,0,13,42,22,0,1
"PF3D7_1413600",15,1,33,0,15,4,1,2,5,3,6,0,1,1,0,56,4,7,4,0,6,1,2,0,0,0,3,0,0,13,0,1
"PF3D7_1413700",402,81,1552,155,390,369,156,55,206,63,198,102,29,194,18,4403,223,124,128,422,855,17,173,96,97,7,35,13,20,280,3,10
"PF3D7_1413800",640,1237,2518,1490,1301,1745,999,726,769,396,495,1224,211,895,73,2016,906,826,940,1510,4502,121,561,101,387,121,285,328,442,809,268,669
"PF3D7_1413900",150,387,2947,1674,316,711,297,657,249,62,163,535,37,210,80,2545,279,161,560,236,1110,221,152,156,115,141,117,182,470,233,281,1512
"PF3D7_1414000",240,17,529,126,247,382,124,119,94,49,174,69,36,111,16,422,225,90,88,152,321,20,60,11,35,37,33,51,66,208,18,32
"PF3D7_1414100",1781,513,3316,1706,4019,1287,1192,299,1660,652,2278,994,319,2212,162,5560,3857,1199,770,3816,6404,287,1458,80,496,337,572,259,451,4023,242,313
"PF3D7_1414200",304,613,1009,584,773,490,428,256,413,285,300,482,122,425,46,1563,845,497,285,1211,2042,141,375,51,187,137,202,136,362,492,133,180
"PF3D7_1414300",2039,5788,33644,26697,8258,8855,4635,10569,5068,2495,2100,7806,1632,4208,853,25532,8920,6553,7479,2136,11622,2887,2491,3140,2090,3261,2047,6152,10803,3628,4973,14061
"PF3D7_1414400",34,5,1912,1266,385,139,25,231,26,6,76,16,4,162,47,2148,64,65,34,97,36,134,15,117,9,82,16,170,334,114,86,313
"PF3D7_1414500",1508,1214,16962,3911,6326,4953,2994,831,2944,916,2312,3256,176,2230,501,33715,4365,1173,2406,6549,11379,1260,2237,245,1117,2817,513,873,1076,1235,1968,2479
"PF3D7_1414600",489,1535,4553,1976,2203,1581,1020,1573,924,442,665,1602,412,1233,100,7558,2069,1141,1251,1080,3687,315,571,229,539,740,453,1275,1422,864,965,1956
"PF3D7_1414700",685,819,1662,1383,1412,1292,868,177,700,385,432,653,123,604,65,3699,1319,366,600,2210,4211,200,654,60,340,296,234,180,393,1079,187,316
"PF3D7_1414800",324,551,7128,1485,1295,1922,694,1663,620,184,562,744,192,963,194,9707,1177,625,792,912,2932,571,329,309,219,381,229,769,1059,724,602,902
"PF3D7_1414900",27,19,1191,386,70,34,36,94,27,15,33,41,15,34,41,2279,35,47,35,50,91,188,23,21,26,97,9,48,185,58,43,116
"PF3D7_1415000",0,0,106,10,1,3,0,12,0,0,1,0,0,4,2,200,0,0,0,0,0,14,0,3,0,0,0,3,7,0,2,2
"PF3D7_1415100",1,8,31,6,18,6,5,2,11,7,4,3,0,12,1,47,10,24,8,5,30,6,3,0,2,0,2,0,2,13,1,0
"PF3D7_1415200",100,132,1032,279,317,531,272,245,81,45,181,389,44,317,27,574,288,199,308,198,707,50,88,18,67,30,40,64,156,117,82,111
"PF3D7_1415300",38,5,276,186,233,71,21,89,31,5,115,11,5,104,19,783,79,114,13,100,32,49,24,34,1,1,5,15,35,230,18,8
"PF3D7_1415400",81,15,3331,783,96,192,81,146,43,8,45,87,3,35,116,5857,25,22,69,153,111,250,78,35,23,243,6,98,128,69,116,373
"PF3D7_1415500",0,0,20,1,6,1,2,1,0,0,1,0,0,1,2,37,0,0,1,3,2,3,4,0,0,3,0,3,9,4,4,1
"PF3D7_1415600",30,0,3721,841,56,132,39,229,8,3,12,58,5,22,95,4815,28,15,50,56,11,334,44,94,7,224,1,249,424,66,296,505
"PF3D7_1415700",68,35,1475,254,261,21,38,80,21,17,116,13,24,145,70,934,140,86,34,168,141,66,26,22,27,32,46,50,113,186,45,78
"PF3D7_1415800",389,452,3083,577,806,1271,638,237,367,219,333,647,198,759,54,2362,946,284,368,1470,3467,108,388,42,336,76,183,94,253,509,159,278
"PF3D7_1415900",168,338,828,537,404,763,400,401,167,158,151,415,63,252,23,840,639,153,433,266,971,71,152,60,178,83,97,92,130,230,128,192
"PF3D7_1416000",11,2,4,2,24,5,2,1,5,0,10,0,1,11,0,8,6,2,6,26,27,0,1,0,1,0,5,1,3,11,0,0
"PF3D7_1416100",1449,1270,1603,1321,2218,2206,2297,351,1037,598,1139,1921,455,1477,91,1243,2731,1010,1104,2801,6324,111,1266,17,846,81,514,101,473,2776,199,291
"PF3D7_1416200",81,8,29,41,1364,32,56,34,28,19,304,12,41,316,4,136,112,123,38,208,307,5,35,10,33,2,76,5,23,396,12,27
"PF3D7_1416300",12,13,59,106,719,15,11,28,25,8,108,5,16,148,3,117,71,168,30,86,109,3,12,28,9,4,30,40,29,188,12,52
"PF3D7_1416400",13,47,8,23,312,91,28,10,37,17,64,24,17,105,4,72,79,128,64,161,607,3,25,0,15,15,41,3,44,174,6,1
